Accession,Species,Host,Host_ID
MG770228,Escherichia phage PMBT57,Escherichia coli O111:H-,"['CP043541.1', 'CP035360.1', 'CP031136.1', 'CP022167.1', 'AP017612.1', 'CP017847.1', 'CP014490.1', 'CP048306.1', 'CP041569.1', 'LR607054.1', 'CP012114.1', 'CP019027.1', 'CP041423.1', 'CP041543.1', 'CP023851.1', 'KY515224.1', 'CP019013.1', 'MG904996.1', 'CP031294.1', 'CP028433.1', 'CP028430.1', 'CP015915.1', 'CP045191.1', 'CP029421.1', 'CP039754.1', 'CP033097.1', 'CP034747.1', 'CP020118.1', 'CP010153.1', 'CP010144.1', 'KP792123.1', 'CP022085.1', 'CP042620.1', 'MK256965.1', 'CU638872.1', 'CP041451.1', 'LR595890.1', 'LR595878.1', 'MH257954.1', 'CP034844.1', 'MG825385.1', 'CP019002.1', 'NC_013370.1', 'NC_013364.1', 'NC_013365.1', 'NC_013368.1', 'NC_013367.1', 'NC_013366.1', 'NZ_AP019768.1', 'NZ_AP019767.1', 'NZ_AP019766.1', 'NZ_AP019765.1', 'NZ_AP019764.1', 'NZ_AP019763.1', 'NZ_AP019762.1', 'NZ_AP019761.1', 'AP019768.1', 'AP019767.1', 'AP019766.1', 'AP019765.1', 'AP019764.1', 'AP019763.1']"
MG770379,Klebsiella virus KpS110,Klebsiella pneumoniae,"['CP052295.1', 'CP052301.1', 'CP044033.1', 'CP056307.1', 'CP055509.1', 'CP055517.1', 'CP034540.1', 'CP057316.1', 'CP039977.1', 'CP039970.1', 'CP032196.1', 'CP031579.1', 'CP027615.1', 'CP056375.1']"
MG832642,Escherichia virus HZ2R8,Escherichia coli,"['CP053597.1', 'CP053595.1', 'CP053594.1', 'CP053602.1', 'CP053600.1', 'CP011938.1', 'CP010585.1', 'AM946981.1', 'CP001509.1', 'CP001665.1', 'CP014272.1', 'CP014269.1', 'CP029240.1', 'CP020368.1', 'CP014268.1', 'CP014642.1', 'CP014641.1', 'CP047231.1']"
MG746602,Klebsiella phage vB_Kpn_F48,Klebsiella pneumoniae ST101,"['NZ_CP034540.1', 'NZ_CP023489.1', 'NZ_CP023488.1', 'NZ_CP023487.1', 'NC_019165.1', 'NZ_CP031375.1', 'NZ_CP031374.1', 'NZ_CP031373.1', 'NZ_CP031372.1', 'NZ_CP031371.1', 'NZ_CP031370.1', 'NZ_CP031369.1', 'NZ_CP031368.1', 'CP054941.1', 'CP054940.1', 'CP047406.1', 'CP047405.1', 'NZ_KX244760.1', 'NZ_CP018740.1', 'NZ_CP018739.1', 'NZ_CP018738.1']"
CP025712,Escherichia phage YDC107_1,Escherichia coli YDC107,"['NZ_CP025711.1', 'NZ_CP025710.1', 'NZ_CP025709.1', 'NZ_CP025708.1', 'NZ_CP025707.1', 'CP025711.1', 'CP025710.1', 'CP025708.1', 'CP025707.1']"
KY435490,Escherichia virus K1E,Escherichia coli IHE3034,"['NC_017628.1', 'NC_017628.1', 'CP001969.1']"
MG673519,Escherichia phage LAMP,Escherichia coli 4s,"['NZ_CP045661.1', 'NZ_CP054268.1', 'NZ_CP053600.1', 'NZ_CP053599.1', 'AP022815.1', 'AP022811.1', 'NC_012971.2', 'CP016404.1', 'NZ_CP014268.2', 'NZ_CP014269.1', 'CP019079.1', 'CP019077.1']"
MG428990,Klebsiella virus Menlow,Klebsiella pneumoniae,"['LR133964.1', 'CP052372.1', 'CP052544.1', 'CP052379.1', 'CP025684.1', 'CP023441.1', 'CP003999.1', 'CP042882.1', 'CP018056.1', 'CP025037.1', 'CP027697.1', 'CP054268.1', 'MN922301.1', 'CP037929.1', 'CP037928.1', 'CP043969.1', 'CP043047.1', 'CP030341.1', 'CP029099.1', 'CP028180.1', 'CP021859.1', 'CP021833.1', 'CP021718.1', 'CP020837.1', 'CP019772.1', 'CP015392.1', 'CP018437.1', 'CP018428.1', 'CP018427.1', 'CP015822.1', 'CP014647.1', 'CP014649.1', 'CP011976.1', 'CP009775.1', 'CP009771.1', 'CP008827.1', 'CP007729.1', 'CP007727.1', 'CP006923.1', 'CP006918.1', 'JX442974.1', 'CP039974.1', 'CP039968.1', 'CP021955.1', 'CP052295.1', 'CP052301.1', 'CP044033.1', 'CP039960.1', 'CP039957.1', 'CP039954.1']"
MG428991,Klebsiella virus May,Klebsiella pneumoniae,"['CP003999.1', 'CP042882.1', 'CP018056.1', 'CP025037.1', 'CP027697.1', 'CP054268.1', 'MN922301.1', 'CP037929.1', 'CP037928.1', 'CP043969.1', 'CP043047.1', 'CP030341.1', 'CP029099.1', 'CP028180.1', 'CP021859.1', 'CP021833.1', 'CP021718.1', 'CP020837.1', 'CP019772.1', 'CP015392.1', 'CP018437.1', 'CP018428.1', 'CP018427.1', 'CP015822.1', 'CP014647.1', 'CP014649.1', 'CP011976.1', 'CP009775.1', 'CP009771.1', 'CP008827.1', 'CP007729.1', 'CP007727.1', 'CP006923.1', 'CP006918.1', 'JX442974.1', 'CP039974.1', 'CP039968.1', 'CP021955.1', 'AP014950.1', 'CP052192.1', 'CP041082.1', 'CP031368.1', 'CP033625.1', 'CP032178.1', 'CP035179.1', 'CP023487.1', 'CP023553.1', 'CP018735.1', 'CP018450.1', 'CP018447.1']"
MG050172,Escherichia virus DTL,Escherichia coli K12,"['NC_010473.1', 'NC_002483.1', 'AP001918.1', 'NZ_MK753227.1', 'NZ_MK753226.1', 'NZ_MK753225.1', 'NZ_MK753228.1', 'NZ_MF521836.1', 'NZ_KX156773.1', 'NZ_KX156772.1', 'KX156773.1', 'KX156772.1', 'KJ170699.1', 'NZ_CP014271.1', 'NZ_CP014273.1', 'CP032679.1', 'NC_007779.1', 'NZ_CP009644.1', 'NZ_CP009789.1', 'NC_010473.1', 'NZ_CP027060.1', 'U00096.3', 'NZ_LR881938.1', 'NZ_CP017100.1', 'NZ_CP014348.1', 'NZ_CP009685.1', 'NC_002483.1', 'AP001918.1', 'NZ_LM993812.1', 'NZ_LM995446.1', 'NZ_MK753227.1', 'NZ_MK753226.1', 'NZ_MK753225.1', 'NZ_MK753228.1', 'NZ_MF521836.1', 'NC_012759.1', 'NC_017625.1', 'NZ_CP037857.1']"
MG383452,Escherichia phage FEC14,Escherichia coli O157:H7,"['NZ_AP018692.1', 'NZ_CP045865.1', 'NZ_CP045864.1', 'NZ_CP022729.1', 'NZ_CP008807.1', 'NZ_CP008806.1', 'NC_011353.1', 'NC_011351.1', 'NC_011350.1', 'NC_007414.1', 'NC_002655.2', 'NZ_CP017439.1', 'NZ_CP017445.1', 'NZ_CP017441.1', 'NZ_CP017435.1', 'NZ_CP017443.1', 'NZ_CP017447.1', 'NZ_CP017437.1', 'NZ_CP016626.1', 'NZ_CP010305.1', 'NC_013008.1', 'NC_013010.1', 'NZ_AP018692.1', 'NZ_CP045865.1', 'NZ_CP045864.1', 'NZ_CP045863.1', 'NZ_CP022729.1', 'NZ_CP015842.1', 'NZ_CP008807.1', 'NZ_CP008806.1', 'NZ_CP008805.1', 'NC_011353.1', 'NC_011351.1', 'NC_011350.1', 'NC_007414.1', 'NC_002655.2', 'NZ_CP033605.1', 'NZ_CP017439.1', 'NZ_CP017438.1', 'NZ_CP017445.1', 'NC_013942.1', 'NC_013941.1', 'NZ_EU675685.1', 'AP022816.1', 'AP022815.1', 'AP022811.1', 'NC_017907.1', 'NC_017906.1']"
MG488277,Escherichia virus EG1,Escherichia coli str. K-12 substr. MG1655,"['NZ_MK753227.1', 'NZ_MK753226.1', 'NZ_MK753225.1', 'NZ_MK753228.1', 'NZ_MF521836.1', 'CP032679.1', 'NZ_CP027060.1', 'U00096.3', 'NZ_LR881938.1', 'NZ_CP014348.1', 'NZ_CP009685.1', 'NZ_MK753227.1', 'NZ_MK753226.1', 'NZ_MK753225.1', 'NZ_MK753228.1', 'NZ_MF521836.1', 'NZ_CP032667.1', 'NZ_CP014225.1', 'NZ_CP012868.1', 'NZ_CP025268.1', 'NZ_CP026028.1']"
MG099933,Escherichia virus Golestan,Escherichia coli 333,"['AP022815.1', 'AP022811.1', 'NC_008563.1', 'NZ_CP006798.1', 'NZ_CP009644.1', 'NZ_CP009789.1', 'NC_017641.1', 'CP041448.1', 'CP057085.1', 'CP041520.1', 'CP002291.1', 'CP057802.1', 'CP050173.1', 'CP041442.1', 'CP054556.1', 'CP041110.1', 'CP024978.1']"
MG208881,Escherichia phage St11Ph5,Escherichia coli 4s,"['NZ_CP045661.1', 'NZ_CP054268.1', 'NZ_CP053600.1', 'NZ_CP053599.1', 'AP022815.1', 'AP022811.1', 'NC_012971.2', 'CP016404.1', 'NZ_CP014268.2', 'NZ_CP014269.1', 'CP019079.1', 'CP019077.1']"
MF996376,Escherichia virus SRT8,Escherichia coli BL21,"['NZ_CP060121.1', 'CP060121.1', 'NZ_CP053601.1', 'CP053601.1', 'NZ_CP053600.1', 'NC_012971.2', 'NZ_CP010816.1', 'NC_012947.1', 'NZ_CP053602.1', 'CP053602.1', 'CP053600.1', 'NC_012892.2', 'NZ_CP011938.1', 'NZ_CP047231.1', 'CP047231.1']"
MG197996,Escherichia phage APC_JM3.2,Escherichia coli,"['CP002291.1', 'LR134234.1', 'CP001855.1', 'LS992166.1', 'CP026085.1', 'CP002967.1', 'CP002516.1', 'CP002185.1', 'CP019029.1', 'CP019455.1', 'CP010170.1', 'CP010169.1', 'CP023349.1', 'CP043736.1', 'CP022164.1', 'CP020509.1', 'CP024821.1', 'CP009578.1', 'CP027457.1', 'CP040927.1', 'CP031293.1', 'CP031134.1', 'CP026199.1', 'CP034738.1', 'AP021892.1', 'CP010160.1', 'CP013663.1', 'CP023258.1', 'CP043754.1', 'CP023386.1', 'CP010196.1', 'CP010186.1', 'CP023142.1', 'CP022393.1', 'CP010229.1', 'CP010121.1', 'CP042901.1', 'AP021890.1', 'CP019558.1']"
MF807953,Escherichia phage Ayreon,Escherichia coli K12,"['NC_010473.1', 'NC_002483.1', 'AP001918.1', 'NZ_MK753227.1', 'NZ_MK753226.1', 'NZ_MK753225.1', 'NZ_MK753228.1', 'NZ_MF521836.1', 'NZ_KX156773.1', 'NZ_KX156772.1', 'KX156773.1', 'KX156772.1', 'KJ170699.1', 'NZ_CP014271.1', 'NZ_CP014273.1', 'CP032679.1', 'NC_007779.1', 'NZ_CP009644.1', 'NZ_CP009789.1', 'NC_010473.1', 'NZ_CP027060.1', 'U00096.3', 'NZ_LR881938.1', 'NZ_CP017100.1', 'NZ_CP014348.1', 'NZ_CP009685.1', 'NC_002483.1', 'AP001918.1', 'NZ_LM993812.1', 'NZ_LM995446.1', 'NZ_MK753227.1', 'NZ_MK753226.1', 'NZ_MK753225.1', 'NZ_MK753228.1', 'NZ_MF521836.1', 'NC_012759.1', 'NC_017625.1', 'NZ_CP037857.1']"
MF285615,Klebsiella virus 2044-307w,Klebsiella pneumoniae K2044,"['NZ_CP026012.1', 'NZ_CP026011.1', 'NC_012731.1', 'NC_006625.1', 'JN420336.1', 'CP026012.1', 'CP026011.1', 'AP006725.1', 'AP006726.1', 'FO203501.1']"
MF695815,Klebsiella phage KPP5665-2,Klebsiella pneumoniae,"['CP014004.1', 'CP012753.1', 'CP030072.1', 'CP027613.1', 'CP021708.1', 'CP043859.1', 'CP026751.1', 'CP012043.1', 'CP041927.1', 'CP041639.1', 'CP035196.1', 'CP009863.1', 'CP034778.1', 'CP031810.1', 'CP026392.1', 'CP026177.1', 'CP025211.1', 'CP032185.1', 'CP029738.1', 'CP012568.1', 'CP012561.1', 'CP012560.1', 'CP046951.1', 'CP046383.1', 'CP046941.1', 'CP045015.1', 'CP024038.1', 'CP023919.1', 'CP047633.1', 'LS399318.1', 'CP032200.1', 'CP027612.1', 'CP036190.1', 'CP035905.1', 'CP009208.1', 'CP009461.1', 'CP041946.1', 'CP014762.1', 'CP024916.1', 'CP025515.1', 'CP032833.1', 'CP018306.1', 'CP023949.1', 'CP036438.1', 'CP024548.1', 'CP044389.1', 'CP028478.1', 'CP015130.1', 'CP028915.1', 'CP025143.1']"
MF612071,Klebsiella virus AltoGao,Klebsiella pneumoniae 51503,"['CP052372.1', 'CP025684.1', 'CP056432.1', 'CP055451.1', 'CP035531.1', 'CP052324.1']"
MF612073,Klebsiella phage SopranoGao,Klebsiella pneumoniae 51503,"['CP027613.1', 'CP041927.1', 'CP041639.1', 'CP032185.1', 'CP029738.1', 'CP012568.1', 'CP012561.1', 'CP012560.1', 'CP045015.1', 'LS399318.1', 'CP041946.1', 'CP025143.1', 'CP035531.1', 'CP025684.1', 'CP044385.1', 'CP029590.1', 'CP029587.1', 'CP029722.1', 'CP028990.1', 'CP028953.1', 'CP016811.1', 'CP012883.1', 'CP034200.1', 'CP026159.1', 'CP019079.1', 'CP019077.1', 'CP012744.1', 'CP012743.1', 'CP025146.1', 'CP025140.1', 'CP041934.1', 'CP047336.1', 'CP046612.1', 'CP041082.1', 'CP033625.1', 'CP032178.1', 'CP023487.1', 'CP023553.1', 'CP018735.1', 'CP018450.1', 'CP018447.1', 'CP035179.1', 'CP025631.1', 'CP033777.1', 'CP021960.1', 'CP050376.1', 'CP031798.1', 'CP024517.1', 'CP024501.1']"
MF356679,Escherichia phage D6,Escherichia coli C600,"['NC_007414.1', 'NZ_MK033499.1', 'NZ_CP031214.1', 'CP031214.1', 'AF074613.1']"
MF033349,Acintetobacter virus B5,Acinetobacter baumannii,"['CP027183.1', 'CP027178.1']"
MF402939,Escherichia virus OSYSP,Escherichia coli O157:H7,"['NZ_AP018692.1', 'NZ_CP045865.1', 'NZ_CP045864.1', 'NZ_CP022729.1', 'NZ_CP008807.1', 'NZ_CP008806.1', 'NC_011353.1', 'NC_011351.1', 'NC_011350.1', 'NC_007414.1', 'NC_002655.2', 'NZ_CP017439.1', 'NZ_CP017445.1', 'NZ_CP017441.1', 'NZ_CP017435.1', 'NZ_CP017443.1', 'NZ_CP017447.1', 'NZ_CP017437.1', 'NZ_CP016626.1', 'NZ_CP010305.1', 'NC_013008.1', 'NC_013010.1', 'NZ_AP018692.1', 'NZ_CP045865.1', 'NZ_CP045864.1', 'NZ_CP045863.1', 'NZ_CP022729.1', 'NZ_CP015842.1', 'NZ_CP008807.1', 'NZ_CP008806.1', 'NZ_CP008805.1', 'NC_011353.1', 'NC_011351.1', 'NC_011350.1', 'NC_007414.1', 'NC_002655.2', 'NZ_CP033605.1', 'NZ_CP017439.1', 'NZ_CP017438.1', 'NZ_CP017445.1', 'NC_013942.1', 'NC_013941.1', 'NZ_EU675685.1', 'AP022816.1', 'AP022815.1', 'AP022811.1', 'NC_017907.1', 'NC_017906.1']"
KY389315,Klebsiella virus K5-2,Klebsiella pneumoniae subsp. ozaenae K5,['NZ_MT441554.1']
KY389316,Klebsiella virus K5-4,Klebsiella pneumoniae NTUH-K44,['NZ_MT441554.1']
KY979108,Escherichia phage ECP1,Escherichia coli MG1655,"['NZ_MK753227.1', 'NZ_MK753226.1', 'NZ_MK753225.1', 'NZ_MK753228.1', 'NZ_MF521836.1', 'CP032679.1', 'NZ_CP027060.1', 'U00096.3', 'NZ_LR881938.1', 'NZ_CP014348.1', 'NZ_CP009685.1', 'NZ_MK753227.1', 'NZ_MK753226.1', 'NZ_MK753225.1', 'NZ_MK753228.1', 'NZ_MF521836.1', 'NZ_CP032667.1', 'NZ_CP014225.1', 'NZ_CP012868.1', 'NZ_CP025268.1']"
KY268295,Acinetobacter virus AS12,Acinetobacter baumannii 1432,"['NC_011586.2', 'NZ_CP013924.1', 'NZ_CP008706.1', 'NZ_AP014649.1', 'NZ_AP013357.1', 'NC_018706.1', 'NC_017162.1', 'NZ_CP044356.1', 'NZ_CP042841.1', 'NZ_CP027183.1', 'NZ_CP027178.1', 'NZ_CP027123.1', 'NZ_CP021345.1', 'NZ_CP021347.1', 'NZ_CP021342.1', 'NZ_LN997846.1', 'NZ_LN868200.1', 'NZ_LN865143.1', 'CP024124.1']"
KY268296,Acinetobacter virus AS11,Acinetobacter baumannii 28,"['NZ_CP038261.1', 'NZ_CP038260.1', 'NZ_CP038259.1', 'NZ_CP038258.1', 'NZ_KP890934.1', 'NZ_CP021787.1', 'NZ_CP021786.1', 'NZ_CP021785.1', 'NZ_CP021784.1', 'NZ_CP021783.1', 'NZ_CP021782.1', 'NC_020547.2', 'NC_020525.1', 'NC_018706.1', 'CP061542.1', 'CP061541.1', 'NZ_CP027483.1']"
MF044458,Escherichia virus ST32,Escherichia coli H21,"['NZ_KM085450.1', 'NZ_CP009106.2', 'NZ_CP009107.1', 'NZ_CP031901.1', 'NZ_CP031900.1', 'NZ_CP031899.1', 'NZ_CP031898.1', 'NC_007365.1', 'NZ_LR134311.1', 'NZ_CP016550.1', 'NZ_CP016549.1', 'NZ_CP016548.1', 'NZ_CP016547.1', 'NZ_CP016546.1', 'NZ_CP031897.1', 'NZ_CP031896.1', 'NZ_CP031895.1', 'NZ_CP031894.1', 'NZ_CP031893.1']"
KY962008,Escherichia virus ST31,Escherichia coli ST130,"['NZ_CP043478.1', 'CP043478.1']"
KY271396,Klebsiella phage 2 LV-2017,Klebsiella pneumoniae H151440672,"['NZ_KY271406.1', 'NZ_KY271413.1', 'NZ_KY271404.1', 'NZ_KY271407.1', 'NZ_KY271405.1', 'NZ_KY271414.1', 'NZ_KY271403.1', 'NZ_KY271415.1', 'KY271415.1']"
KY271395,Klebsiella phage 2b LV-2017,Klebsiella pneumoniae KH43,"['NZ_KY271406.1', 'NZ_KY271413.1', 'NZ_KY271404.1', 'NZ_KY271407.1', 'NZ_KY271405.1', 'NZ_KY271414.1', 'NZ_KY271403.1', 'NZ_KY271415.1', 'KY271415.1']"
KY271397,Klebsiella virus 3LV2017,Klebsiella pneumoniae KH43,"['NZ_KY271406.1', 'NZ_KY271413.1', 'NZ_KY271404.1', 'NZ_KY271407.1', 'NZ_KY271405.1', 'NZ_KY271414.1', 'NZ_KY271403.1', 'NZ_KY271415.1', 'KY271415.1']"
KY271398,Klebsiella virus 4LV2017,Klebsiella pneumoniae KL49,"['NZ_KY271406.1', 'NZ_KY271413.1', 'NZ_KY271404.1', 'NZ_KY271407.1', 'NZ_KY271405.1', 'NZ_KY271414.1', 'NZ_KY271403.1', 'NZ_KY271415.1', 'KY271415.1']"
KY271399,Klebsiella phage 5 LV-2017,Klebsiella pneumoniae KH43,"['NZ_KY271406.1', 'NZ_KY271413.1', 'NZ_KY271404.1', 'NZ_KY271407.1', 'NZ_KY271405.1', 'NZ_KY271414.1', 'NZ_KY271403.1', 'NZ_KY271415.1', 'KY271415.1']"
KY271400,Klebsiella phage 6 LV-2017,Klebsiella pneumoniae KH43,"['NZ_KY271406.1', 'NZ_KY271413.1', 'NZ_KY271404.1', 'NZ_KY271407.1', 'NZ_KY271405.1', 'NZ_KY271414.1', 'NZ_KY271403.1', 'NZ_KY271415.1', 'KY271415.1']"
KY271401,Klebsiella phage 1 LV-2017,Klebsiella pneumoniae KH43,"['NZ_KY271406.1', 'NZ_KY271413.1', 'NZ_KY271404.1', 'NZ_KY271407.1', 'NZ_KY271405.1', 'NZ_KY271414.1', 'NZ_KY271403.1', 'NZ_KY271415.1']"
KY271402,Klebsiella phage 48ST307,Klebsiella pneumoniae Kp-48,"['NZ_KY271406.1', 'NZ_KY271413.1', 'NZ_KY271404.1', 'NZ_KY271407.1', 'NZ_KY271405.1', 'NZ_KY271414.1', 'NZ_KY271403.1', 'NZ_KY271415.1']"
KY703222,Escherichia phage phiC120,Escherichia coli O157:H7,"['NZ_AP018692.1', 'NZ_CP045865.1', 'NZ_CP045864.1', 'NZ_CP022729.1', 'NZ_CP008807.1', 'NZ_CP008806.1', 'NC_011353.1', 'NC_011351.1', 'NC_011350.1', 'NC_007414.1', 'NC_002655.2', 'NZ_CP017439.1', 'NZ_CP017445.1', 'NZ_CP017441.1', 'NZ_CP017435.1', 'NZ_CP017443.1', 'NZ_CP017447.1', 'NZ_CP017437.1', 'NZ_CP016626.1', 'NZ_CP010305.1', 'NC_013008.1', 'NC_013010.1', 'NZ_AP018692.1', 'NZ_CP045865.1', 'NZ_CP045864.1', 'NZ_CP045863.1', 'NZ_CP022729.1', 'NZ_CP015842.1', 'NZ_CP008807.1', 'NZ_CP008806.1', 'NZ_CP008805.1', 'NC_011353.1', 'NC_011351.1', 'NC_011350.1', 'NC_007414.1', 'NC_002655.2', 'NZ_CP033605.1', 'NZ_CP017439.1', 'NZ_CP017438.1', 'NZ_CP017445.1', 'NC_013942.1', 'NC_013941.1', 'NZ_EU675685.1', 'AP022816.1', 'AP022815.1', 'AP022811.1', 'NC_017907.1', 'NC_017906.1', 'CP038380.1', 'CP038319.1', 'CP038366.1', 'CP038428.1', 'CP049612.1', 'CP039837.1', 'CP040107.1', 'CP039834.1', 'CP038425.1', 'CP038423.1', 'CP038421.1', 'CP038419.1', 'CP038416.1', 'CP038414.1', 'CP038412.1', 'CP038408.1', 'CP038405.1', 'CP038402.1', 'CP038398.1', 'CP038394.1', 'CP038389.1', 'CP038386.1', 'CP038383.1', 'CP038376.1', 'CP038374.1', 'CP038372.1', 'CP038369.1', 'CP038363.1', 'CP038360.1', 'CP038357.1', 'CP038355.1', 'CP038353.1', 'CP038351.1', 'CP038349.1', 'CP038346.1', 'CP038344.1', 'CP038342.1', 'CP038339.1', 'CP038336.1', 'CP038333.1', 'CP038328.1', 'CP038324.1', 'CP038321.1', 'CP038316.1', 'CP038313.1', 'CP038309.1', 'CP038305.1', 'CP038302.1', 'CP038300.1', 'CP038295.1']"
KY705409,Escherichia virus ECOO78,Escherichia coli O78,['FO203501.1']
KY652726,Klebsiella phage vB_KpnM_BIS47,Klebsiella pneumoniae,"['AP014950.1', 'CP026392.1', 'CP026177.1', 'CP057459.1', 'LR596814.1', 'LR596813.1', 'CP056425.1']"
KY398841,Escherichia virus EC3a,Escherichia coli clinical isolate 3,"['NZ_MF679146.1', 'NZ_MF679147.1', 'NZ_MF679145.1', 'NZ_MF679143.1', 'NZ_MH472638.1', 'NZ_KT693143.1', 'NZ_KT693145.1', 'NZ_KC887916.1', 'NZ_CP050342.1', 'NZ_CP050336.1', 'NZ_CP050354.1', 'NZ_CP050348.1', 'CP050354.1', 'CP050348.1', 'CP050342.1', 'CP050336.1', 'NZ_KX443694.1', 'NZ_CP015977.1', 'NZ_AP018145.1', 'NZ_AP018140.1']"
KY290975,Escherichia phage YUEEL01,Escherichia coli ART2,"['CP054328.1', 'LS992166.1', 'CP024134.1', 'CP035339.1', 'CP035354.1', 'CP056985.1', 'CP027597.1', 'CP015229.1', 'CP042903.1', 'CP018840.1', 'CP058031.1', 'CP055981.1', 'CP055976.1', 'CP055973.1', 'CP055967.1', 'CP055964.1', 'CP055958.1', 'CP055951.1', 'CP055918.1', 'CP058019.1', 'CP057996.1', 'CP057978.1', 'CP057967.1', 'CP057964.1', 'CP057962.1', 'CP057961.1', 'CP057953.1', 'CP057932.1', 'CP057930.1', 'CP057885.1', 'CP057882.1', 'CP057860.1', 'CP057854.1', 'CP057849.1', 'CP057812.1', 'CP057843.1', 'CP057833.1', 'CP057796.1', 'CP057784.1', 'CP057778.1', 'CP057767.1', 'CP057729.1', 'CP057693.1', 'CP057684.1', 'CP057677.1', 'CP050031.1', 'CP050036.1', 'CP050040.1', 'CP050044.1', 'CP058682.1']"
KX237515,Klebsiella virus KpV522,Klebsiella pneumoniae,"['CP013711.1', 'LR130541.1']"
KX856662,Klebsiella virus KPRio2015,Klebsiella pneumoniae,"['CP052295.1', 'CP052301.1', 'CP055553.1', 'CP026392.1', 'CP026177.1', 'CP052388.1', 'CP054303.1', 'CP052336.1', 'CP052328.1', 'CP057459.1', 'CP057099.1', 'CP057069.1', 'CP057066.1', 'CP057034.1', 'CP056830.1', 'CP056520.1', 'CP055451.1', 'CP054289.1', 'CP054285.1', 'CP053364.1', 'CP040861.1', 'CP043859.1', 'CP034039.1', 'CP023416.1', 'CP024489.1', 'CP024482.1', 'CP016926.1', 'CP007731.1', 'CP014004.1', 'LR607373.1', 'LR134280.1', 'CP052404.1', 'CP032200.1', 'CP027612.1', 'CP052265.1', 'CP046612.1', 'CP023949.1', 'CP052278.1', 'CP050826.1', 'CP031798.1', 'CP031814.1', 'CP031789.1', 'LR025099.1', 'AP022157.1', 'CP014762.1', 'AP022078.1', 'CP034318.1', 'CP041644.1', 'CP032175.1', 'CP026153.1']"
KX552041,Escherichia phage ESCO13,Escherichia coli BEN 4311,"['CP055256.1', 'CP057073.1', 'CP026941.1', 'CP053788.1', 'CP053786.1', 'CP053677.1', 'CP053678.1', 'CP053679.1', 'CP038347.1', 'CP053560.1', 'MT230403.1', 'MT230357.1', 'MT230324.1', 'MT230314.1', 'MT230257.1', 'MT230229.1', 'MT230222.1', 'MT230211.1', 'MT230198.1', 'MT230105.1', 'CP053081.1', 'CP048295.1', 'MN612051.1', 'CP043541.1', 'CP049350.1', 'MN335639.1', 'MN419438.1', 'MN419437.1', 'MN419436.1', 'MN419434.1', 'MN419433.1', 'MN419432.1', 'MN419431.1', 'MN419430.1', 'CP041420.1', 'CP057698.1', 'CP057275.1', 'CP056606.1', 'AP022216.1', 'AP022160.1', 'CP058572.1', 'MK764029.1', 'MK764028.1', 'MK764027.1', 'MK764026.1', 'MK764025.1', 'MK764024.1', 'CP049348.1', 'CP048025.1']"
KX669227,Escherichia virus ZG49,Escherichia coli 49,"['NZ_MT230338.1', 'NZ_MT230325.1', 'NZ_MT230316.1', 'NZ_MT230315.1', 'NZ_MT230319.1', 'NZ_MT230154.1', 'NZ_MT230320.1', 'NZ_MT230242.1', 'NZ_MT230326.1', 'NZ_HF572917.1', 'NC_022741.1', 'NC_022743.1', 'CP053597.1', 'CP053595.1', 'CP053594.1', 'CP053602.1', 'CP053600.1', 'CP011938.1', 'CP010585.1', 'AM946981.1', 'CP001509.1', 'CP001665.1', 'CP014272.1', 'CP014269.1', 'CP029240.1', 'CP020368.1', 'CP014268.1', 'CP014642.1', 'CP014641.1', 'CP047231.1', 'LM996875.1']"
KT990215,Escherichia virus GA2A,Escherichia coli O:45 strain C1328,['AE014075.1']
KX523699,Salmonella phage IME207,Klebsiella pneumoniae,"['CP021955.1', 'CP018450.1', 'CP018447.1', 'KP453775.1', 'MG288678.1', 'MF510496.1']"
KX258185,Klebsiella phage vB_KpnM_KpV477,Klebsiella pneumoniae KPB463,"['LR133964.1', 'CP034200.1', 'CP019079.1', 'CP019077.1', 'CP012744.1', 'CP012743.1', 'CP059317.1', 'CP029722.1', 'CP052362.1', 'CP054303.1', 'CP052136.1', 'CP052336.1', 'CP052328.1', 'CP043562.1', 'CP030174.1', 'CP028990.1', 'CP028953.1', 'CP019219.1', 'CP015134.1', 'CP016811.1', 'CP059379.1', 'AP023337.1', 'CP057722.1', 'CP057459.1', 'CP057313.1', 'CP057099.1', 'CP057069.1', 'CP057066.1', 'CP057034.1', 'CP056883.1', 'CP056878.1', 'CP056854.1', 'CP056830.1', 'CP056216.1', 'CP056520.1', 'CP056329.1', 'CP056530.1', 'CP056432.1', 'CP056385.1', 'CP056372.1', 'CP056307.1', 'CP056301.1', 'CP056297.1', 'CP056275.1', 'CP056222.1', 'CP047271.1', 'CP054289.1', 'CP054285.1', 'CP059889.1', 'CP048412.1']"
