Accession,Species,Host,Host_ID
NC_049827,Escherichia phage damhaus,Escherichia coli K-12 MG1655,"['CP032679.1', 'NC_007779.1', 'NZ_CP027060.1', 'U00096.3', 'NZ_LR881938.1', 'NZ_CP014348.1', 'NZ_CP009685.1', 'NZ_MK753227.1', 'NZ_MK753226.1', 'NZ_MK753225.1', 'NZ_MK753228.1', 'NZ_MF521836.1', 'NZ_CP032667.1']"
NC_049828,Escherichia phage haarsle,Escherichia coli K-12 MG1655,"['CP032679.1', 'NC_007779.1', 'NZ_CP027060.1', 'U00096.3', 'NZ_LR881938.1', 'NZ_CP014348.1', 'NZ_CP009685.1', 'NZ_MK753227.1', 'NZ_MK753226.1', 'NZ_MK753225.1', 'NZ_MK753228.1', 'NZ_MF521836.1', 'NZ_CP032667.1']"
NC_049829,Escherichia phage aalborv,Escherichia coli K-12 MG1655,"['CP032679.1', 'NC_007779.1', 'NZ_CP027060.1', 'U00096.3', 'NZ_LR881938.1', 'NZ_CP014348.1', 'NZ_CP009685.1', 'NZ_MK753227.1', 'NZ_MK753226.1', 'NZ_MK753225.1', 'NZ_MK753228.1', 'NZ_MF521836.1', 'NZ_CP032667.1']"
NC_049845,Klebsiella phage PhiKpNIH-2,Klebsiella pneumoniae subsp. pneumoniae KPNIH1,"['NZ_CP008830.1', 'NZ_CP008829.1', 'NZ_CP008828.1', 'CP008830.1', 'CP008829.1', 'CP008828.1', 'NZ_CP008830.1', 'NZ_CP008829.1', 'NZ_CP008828.1', 'NZ_CP008827.1', 'CP008830.1', 'CP008829.1', 'CP008828.1', 'CP008827.1']"
NC_049852,Escherichia phage egaa,Escherichia coli K-12 MG1655,"['CP032679.1', 'NC_007779.1', 'NZ_CP027060.1', 'U00096.3', 'NZ_LR881938.1', 'NZ_CP014348.1', 'NZ_CP009685.1', 'NZ_MK753227.1', 'NZ_MK753226.1', 'NZ_MK753225.1', 'NZ_MK753228.1', 'NZ_MF521836.1', 'NZ_CP032667.1']"
NC_049427,Escherichia phage FEC14,Escherichia coli O157:H7,"['NZ_AP018692.1', 'NZ_CP045865.1', 'NZ_CP045864.1', 'NZ_CP022729.1', 'NZ_CP008807.1', 'NZ_CP008806.1', 'NC_011353.1', 'NC_011351.1', 'NC_011350.1', 'NC_007414.1', 'NC_002655.2', 'NZ_CP017439.1', 'NZ_CP017445.1', 'NZ_CP017441.1', 'NZ_CP017435.1', 'NZ_CP017443.1', 'NZ_CP017447.1', 'NZ_CP017437.1', 'NZ_CP016626.1', 'NZ_CP010305.1', 'NC_013008.1', 'NC_013010.1', 'NZ_AP018692.1', 'NZ_CP045865.1', 'NZ_CP045864.1', 'NZ_CP045863.1', 'NZ_CP022729.1', 'NZ_CP015842.1', 'NZ_CP008807.1', 'NZ_CP008806.1', 'NZ_CP008805.1', 'NC_011353.1', 'NC_011351.1', 'NC_011350.1', 'NC_007414.1', 'NC_002655.2', 'NZ_CP033605.1', 'NZ_CP017439.1', 'NZ_CP017438.1', 'NZ_CP017445.1', 'NC_013942.1', 'NC_013941.1', 'NZ_EU675685.1', 'AP022816.1', 'AP022815.1', 'AP022811.1', 'NC_017907.1', 'NC_017906.1']"
NC_049472,Klebsiella virus UPM 2146,Klebsiella pneumoniae baa-2146,"['NZ_CP006662.2', 'NZ_CP006659.2', 'NZ_CP006663.1', 'NZ_CP006661.1', 'NZ_CP006660.1', 'NZ_KJ588779.1', 'KJ588779.1', 'CP006662.2', 'CP006659.2', 'CP006663.1', 'CP006661.1', 'CP006660.1']"
NC_048627,Escherichia phage SP15,Escherichia coli O157:H7,"['NZ_AP018692.1', 'NZ_CP045865.1', 'NZ_CP045864.1', 'NZ_CP022729.1', 'NZ_CP008807.1', 'NZ_CP008806.1', 'NC_011353.1', 'NC_011351.1', 'NC_011350.1', 'NC_007414.1', 'NC_002655.2', 'NZ_CP017439.1', 'NZ_CP017445.1', 'NZ_CP017441.1', 'NZ_CP017435.1', 'NZ_CP017443.1', 'NZ_CP017447.1', 'NZ_CP017437.1', 'NZ_CP016626.1', 'NZ_CP010305.1', 'NC_013008.1', 'NC_013010.1', 'NZ_AP018692.1', 'NZ_CP045865.1', 'NZ_CP045864.1', 'NZ_CP045863.1', 'NZ_CP022729.1', 'NZ_CP015842.1', 'NZ_CP008807.1', 'NZ_CP008806.1', 'NZ_CP008805.1', 'NC_011353.1', 'NC_011351.1', 'NC_011350.1', 'NC_007414.1', 'NC_002655.2', 'NZ_CP033605.1', 'NZ_CP017439.1', 'NZ_CP017438.1', 'NZ_CP017445.1', 'NC_013942.1', 'NC_013941.1', 'NZ_EU675685.1', 'AP022816.1', 'AP022815.1', 'AP022811.1', 'NC_017907.1', 'NC_017906.1']"
NC_048694,Klebsiella phage vB_Kpn_F48,Klebsiella pneumoniae ST101,"['NZ_CP034540.1', 'NZ_CP023489.1', 'NZ_CP023488.1', 'NZ_CP023487.1', 'NC_019165.1', 'NZ_CP031375.1', 'NZ_CP031374.1', 'NZ_CP031373.1', 'NZ_CP031372.1', 'NZ_CP031371.1', 'NZ_CP031370.1', 'NZ_CP031369.1', 'NZ_CP031368.1', 'CP054941.1', 'CP054940.1', 'CP047406.1', 'CP047405.1', 'NZ_KX244760.1', 'NZ_CP018740.1', 'NZ_CP018739.1', 'NZ_CP018738.1']"
NC_048700,Klebsiella phage KP8,Klebsiella pneumoniae,['NZ_CP025089.1']
NC_048798,Klebsiella phage Marfa,Klebsiella pneumoniae,['NZ_CP034540.1']
NC_048845,Escherichia phage flopper,Escherichia coli K-12 MG1655,"['CP032679.1', 'NC_007779.1', 'NZ_CP027060.1', 'U00096.3', 'NZ_LR881938.1', 'NZ_CP014348.1', 'NZ_CP009685.1', 'NZ_MK753227.1', 'NZ_MK753226.1', 'NZ_MK753225.1', 'NZ_MK753228.1', 'NZ_MF521836.1', 'NZ_CP032667.1']"
NC_047740,Escherichia virus phiJLA23,Escherichia coli,['NC_013008.1']
NC_047754,Escherichia phage APCEc03,Escherichia coli,['CP032679.1']
NC_047777,Escherichia virus ZG49,Escherichia coli 49,"['NZ_MT230338.1', 'NZ_MT230325.1', 'NZ_MT230316.1', 'NZ_MT230315.1', 'NZ_MT230319.1', 'NZ_MT230154.1', 'NZ_MT230320.1', 'NZ_MT230242.1', 'NZ_MT230326.1', 'NZ_HF572917.1', 'NC_022741.1', 'NC_022743.1']"
NC_047798,Klebsiella virus K5-2,Klebsiella pneumoniae subsp. ozaenae K5,['NZ_MT441554.1']
NC_047799,Klebsiella virus K5-4,Klebsiella pneumoniae NTUH-K44,['NZ_MT441554.1']
NC_047812,Escherichia virus EC3a,Escherichia coli clinical isolate 3,"['NZ_MF679146.1', 'NZ_MF679147.1', 'NZ_MF679145.1', 'NZ_MF679143.1', 'NZ_MH472638.1', 'NZ_KT693143.1', 'NZ_KT693145.1', 'NZ_KC887916.1', 'NZ_CP050342.1', 'NZ_CP050336.1', 'NZ_CP050354.1', 'NZ_CP050348.1', 'CP050354.1', 'CP050348.1', 'CP050342.1', 'CP050336.1', 'NZ_KX443694.1', 'NZ_CP015977.1', 'NZ_AP018145.1', 'NZ_AP018140.1']"
NC_047817,Klebsiella phage 3 LV-2017,Klebsiella pneumoniae KH43,"['NZ_KY271406.1', 'NZ_KY271413.1', 'NZ_KY271404.1', 'NZ_KY271407.1', 'NZ_KY271405.1', 'NZ_KY271414.1', 'NZ_KY271403.1', 'NZ_KY271415.1', 'KY271415.1']"
NC_047818,Klebsiella phage 4 LV-2017,Klebsiella pneumoniae KL49,"['NZ_KY271406.1', 'NZ_KY271413.1', 'NZ_KY271404.1', 'NZ_KY271407.1', 'NZ_KY271405.1', 'NZ_KY271414.1', 'NZ_KY271403.1', 'NZ_KY271415.1', 'KY271415.1']"
NC_047829,Escherichia virus ST31,Escherichia coli ST130,"['NZ_CP043478.1', 'CP043478.1']"
NC_047830,Escherichia virus ST32,Escherichia coli H21,"['NZ_KM085450.1', 'NZ_CP009106.2', 'NZ_CP009107.1', 'NZ_CP031901.1', 'NZ_CP031900.1', 'NZ_CP031899.1', 'NZ_CP031898.1', 'NC_007365.1', 'NZ_LR134311.1', 'NZ_CP016550.1', 'NZ_CP016549.1', 'NZ_CP016548.1', 'NZ_CP016547.1', 'NZ_CP016546.1', 'NZ_CP031897.1', 'NZ_CP031896.1', 'NZ_CP031895.1', 'NZ_CP031894.1', 'NZ_CP031893.1']"
NC_047835,Escherichia virus OSYSP,Escherichia coli O157:H7,"['NZ_AP018692.1', 'NZ_CP045865.1', 'NZ_CP045864.1', 'NZ_CP022729.1', 'NZ_CP008807.1', 'NZ_CP008806.1', 'NC_011353.1', 'NC_011351.1', 'NC_011350.1', 'NC_007414.1', 'NC_002655.2', 'NZ_CP017439.1', 'NZ_CP017445.1', 'NZ_CP017441.1', 'NZ_CP017435.1', 'NZ_CP017443.1', 'NZ_CP017447.1', 'NZ_CP017437.1', 'NZ_CP016626.1', 'NZ_CP010305.1', 'NC_013008.1', 'NC_013010.1', 'NZ_AP018692.1', 'NZ_CP045865.1', 'NZ_CP045864.1', 'NZ_CP045863.1', 'NZ_CP022729.1', 'NZ_CP015842.1', 'NZ_CP008807.1', 'NZ_CP008806.1', 'NZ_CP008805.1', 'NC_011353.1', 'NC_011351.1', 'NC_011350.1', 'NC_007414.1', 'NC_002655.2', 'NZ_CP033605.1', 'NZ_CP017439.1', 'NZ_CP017438.1', 'NZ_CP017445.1', 'NC_013942.1', 'NC_013941.1', 'NZ_EU675685.1', 'AP022816.1', 'AP022815.1', 'AP022811.1', 'NC_017907.1', 'NC_017906.1']"
NC_047842,Klebsiella virus 2044-307w,Klebsiella pneumoniae K2044,"['NZ_CP026012.1', 'NZ_CP026011.1', 'NC_012731.1', 'NC_006625.1', 'JN420336.1', 'CP026012.1', 'CP026011.1', 'AP006725.1', 'AP006726.1', 'FO203501.1']"
NC_047867,Enterobacteria virus T7M,Escherichia coli,['NZ_MK656937.1']
NC_047893,Escherichia virus DTL,Escherichia coli K12,"['NC_010473.1', 'NC_002483.1', 'AP001918.1', 'NZ_MK753227.1', 'NZ_MK753226.1', 'NZ_MK753225.1', 'NZ_MK753228.1', 'NZ_MF521836.1', 'NZ_KX156773.1', 'NZ_KX156772.1', 'KX156773.1', 'KX156772.1', 'KJ170699.1', 'NZ_CP014271.1', 'NZ_CP014273.1', 'CP032679.1', 'NC_007779.1', 'NZ_CP009644.1', 'NZ_CP009789.1', 'NC_010473.1', 'NZ_CP027060.1', 'U00096.3', 'NZ_LR881938.1', 'NZ_CP017100.1', 'NZ_CP014348.1', 'NZ_CP009685.1', 'NC_002483.1', 'AP001918.1', 'NZ_LM993812.1', 'NZ_LM995446.1', 'NZ_MK753227.1', 'NZ_MK753226.1', 'NZ_MK753225.1', 'NZ_MK753228.1', 'NZ_MF521836.1', 'NC_012759.1', 'NC_017625.1', 'NZ_CP037857.1']"
NC_047895,Escherichia virus EG1,Escherichia coli str. K-12 substr. MG1655,"['NZ_MK753227.1', 'NZ_MK753226.1', 'NZ_MK753225.1', 'NZ_MK753228.1', 'NZ_MF521836.1', 'CP032679.1', 'NZ_CP027060.1', 'U00096.3', 'NZ_LR881938.1', 'NZ_CP014348.1', 'NZ_CP009685.1', 'NZ_MK753227.1', 'NZ_MK753226.1', 'NZ_MK753225.1', 'NZ_MK753228.1', 'NZ_MF521836.1', 'NZ_CP032667.1', 'NZ_CP014225.1', 'NZ_CP012868.1', 'NZ_CP025268.1', 'NZ_CP026028.1']"
NC_047938,Escherichia virus SECphi27,Escherichia coli MG1655,"['NZ_MK753227.1', 'NZ_MK753226.1', 'NZ_MK753225.1', 'NZ_MK753228.1', 'NZ_MF521836.1', 'CP032679.1', 'NZ_CP027060.1', 'U00096.3', 'NZ_LR881938.1', 'NZ_CP014348.1', 'NZ_CP009685.1', 'NZ_MK753227.1', 'NZ_MK753226.1', 'NZ_MK753225.1', 'NZ_MK753228.1', 'NZ_MF521836.1', 'NZ_CP032667.1', 'NZ_CP014225.1', 'NZ_CP012868.1', 'NZ_CP025268.1']"
NC_047942,Escherichia virus Ebrios,Escherichia coli C,"['NZ_CP020543.1', 'CP020543.1', 'NC_010468.1', 'CP000946.1']"
NC_047959,Escherichia virus IME18,Escherichia coli BL21(DE3),"['NZ_CP053600.1', 'NC_012971.2', 'NC_012947.1', 'NZ_CP053602.1', 'CP053602.1', 'CP053600.1', 'NC_012892.2', 'NZ_CP011938.1', 'CP001509.3', 'CP011938.1', 'AM946981.2', 'CP001665.1']"
NC_047960,Enterobacteria phage vB_EcoS_IME347,Escherichia coli BL21(DE3),"['NZ_CP053600.1', 'NC_012971.2', 'NC_012947.1', 'NZ_CP053602.1', 'CP053602.1', 'CP053600.1', 'NC_012892.2', 'NZ_CP011938.1', 'CP001509.3', 'CP011938.1', 'AM946981.2', 'CP001665.1']"
NC_047979,Escherichia virus Gostya9,Escherichia coli C600,"['NC_007414.1', 'NZ_MK033499.1', 'NZ_CP031214.1', 'CP031214.1', 'AF074613.1']"
NC_047994,Klebsiella virus ZCKP1,Klebsiella pneumoniae KP/01,"['NZ_CP018343.1', 'NZ_CP018342.1', 'NZ_CP018341.1', 'NZ_CP018340.1', 'NZ_CP018339.1', 'NZ_CP018338.1', 'NZ_CP018337.1', 'NZ_CP018706.1', 'NZ_CP018705.1', 'NZ_CP018704.1', 'NZ_CP018703.1', 'NZ_CP018702.1', 'NZ_CP018701.1', 'NZ_CP018691.1', 'NZ_CP018690.1', 'NZ_CP018689.1', 'NZ_CP018688.1', 'NZ_CP018687.1', 'NZ_CP018686.1', 'NZ_CP018700.1']"
